"cptid","cpt_code","descript_short","descript_med","descript_long"
971,"20661",APPLICATION OF HEAD BRACE,APPLICATION HALO CRANIAL INCLUDING REMOVAL,"Application of halo, including removal; cranial"
464,"15201",SKIN FULL GRAFT TRUNK ADD-O,FTH/GFT FR W/DIR CLSR TRNK EA ADDL 20 CM/<,"Full thickness graft, free, including direct closure of donor site, trunk; each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)"
592,"11772",REMOVE PILONIDAL CYST COMPL,EXCISION PILONIDAL CYST/SINUS COMPLICATED,Excision of pilonidal cyst or sinus; complicated
1027,"23473",REVIS RECONST SHOULDER JOIN,REVIS SHOULDER ARTHRPLSTY HUMERAL/GLENOID COMPNT,"Revision of total shoulder arthroplasty, including allograft when performed; humeral or glenoid component"
688,"12035",INTMD RPR S/A/T/EXT 12.6-20,REPAIR INTERMEDIATE S/A/T/E 12.6-20.0CM,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 12.6 cm to 20.0 cm"
816,"21310",CLOSED TX NOSE FX W/O MANJ,CLOSED TREATMENT NASAL FRACTURE W/O MANIPULATION,Closed treatment of nasal bone fracture without manipulation
1243,"21465",TREAT LOWER JAW FRACTURE,OPEN TREATMENT MANDIBULAR CONDYLAR FRACTURE,Open treatment of mandibular condylar fracture
900,"19396",DESIGN CUSTOM BREAST IMPLAN,PREPARATION MOULAGE CUSTOM BREAST IMPLANT,Preparation of moulage for custom breast implant
1347,"26080",EXPLORE/TREAT FINGER JOINT,ARTHRT EXPL DRG/RMVL LOOSE/FB IPHAL JT EA,"Arthrotomy, with exploration, drainage, or removal of loose or foreign body; interphalangeal joint, each"
1475,"24366",RECONSTRUCT HEAD OF RADIUS,ARTHROPLASTY RADIAL HEAD W/IMPLANT,"Arthroplasty, radial head; with implant"
1108,"23490",REINFORCE CLAVICLE,PROPH TX W/WO METHYLMETHACRYLATE CLAVICLE,"Prophylactic treatment (nailing, pinning, plating or wiring) with or without methylmethacrylate; clavicle"
1551,"27178",TREAT SLIPPED EPIPHYSIS,OPTX SLP FEM EPIPHYSIS CLSD MANJ SINGL/MLTPL PIN,Open treatment of slipped femoral epiphysis; closed manipulation with single or multiple pinning
1679,"26200",REMOVE HAND BONE LESION,EXCISION/CURETTAGE CYST/TUMOR METACARPAL,Excision or curettage of bone cyst or benign tumor of metacarpal;
1807,"26555",POSITIONAL CHANGE OF FINGER,TR FNGR AXH POS W/O MVASC ANAST,"Transfer, finger to another position without microvascular anastomosis"
1272,"25112",REREMOVE WRIST TENDON LESIO,EXCISION GANGLION WRIST DORSAL/VOLAR RECURRENT,"Excision of ganglion, wrist (dorsal or volar); recurrent"
1899,"28234",INCISION OF FOOT TENDON,TENOTOMY OPEN EXTENSOR FOOT/TOE EACH TENDON,"Tenotomy, open, extensor, foot or toe, each tendon"
1352,"26135",REVISE FINGER JOINT EACH,SYNVCT MTCARPHLNGL JT W/INTRNSC RLS&XTNSR HOOD,"Synovectomy, metacarpophalangeal joint including intrinsic release and extensor hood reconstruction, each digit"
1480,"26508",RELEASE THUMB CONTRACTURE,RELEASE THENAR MUSCLE,"Release of thenar muscle(s) (eg, thumb contracture)"
2103,"30100",INTRANASAL BIOPSY,BIOPSY INTRANASAL,"Biopsy, intranasal"
1548,"25025",DECOMPRESS FOREARM 2 SPACES,DCMPRN FASCT F/ARM&/WRST FLXR&XTNSR DBRDMT,"Decompression fasciotomy, forearm and/or wrist, flexor AND extensor compartment; with debridement of nonviable muscle and/or nerve"
1676,"27310",EXPLORATION OF KNEE JOINT,ARTHRT KNE W/EXPL DRG/RMVL FB,"Arthrotomy, knee, with exploration, drainage, or removal of foreign body (eg, infection)"
2299,"29358",APPLY LONG LEG CAST BRACE,APPLICATION LONG LEG CAST BRACE,Application of long leg cast brace
1736,"26357",REPAIR FINGER/HAND TENDON,RPR/ADVMNT FLXR TDN ZONE 2 W/O FR GRFT EA TENDON,"Repair or advancement, flexor tendon, in zone 2 digital flexor tendon sheath (eg, no man's land); secondary, without free graft, each tendon"
1864,"27766",OPTX MEDIAL ANKLE FX,OPEN TREATMENT MEDIAL MALLEOLUS FRACTURE,"Open treatment of medial malleolus fracture, includes internal fixation, when performed"
1992,"27501",TREATMENT OF THIGH FRACTURE,CLTX SPRCNDYLR/TRNSCNDYLR FEM FX W/O MANJ,"Closed treatment of supracondylar or transcondylar femoral fracture with or without intercondylar extension, without manipulation"
2447,"32124",EXPLORE CHEST FREE ADHESION,THORACOTOMY OPN INTRAPLEURAL PNEUMONOLYSIS,Thoracotomy; with open intrapleural pneumonolysis
2575,"32671",THORACOSCOPY PNEUMONECTOMY,THORACOSCOPY W/PNEUMONECTOMY,"Thoracoscopy, surgical; with removal of lung (pneumonectomy)"
2703,"31661",BRONCH THERMOPLSTY 2/> LOBE,BRONCHOSCOPIC THERMOPLASTY 2/> LOBES,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with bronchial thermoplasty, 2 or more lobes"
2136,"27704",REMOVAL OF ANKLE IMPLANT,REMOVAL ANKLE IMPLANT,Removal of ankle implant
2775,"33944",PREPARE DONOR HEART,BKBENCH PREPJ CADAVER DONOR HEART ALLOGRAFT,"Backbench standard preparation of cadaver donor heart allograft prior to transplantation, including dissection of allograft from surrounding soft tissues to prepare aorta, superior vena cava, inferior vena cava, pulmonary artery, and left atrium for implantation"
2252,"31276",SINUS ENDOSCOPY SURGICAL,NASAL/SINUS NDSC W/FRONTAL SINUS EXPLORATION,"Nasal/sinus endoscopy, surgical with frontal sinus exploration, with or without removal of tissue from frontal sinus"
2380,"28285",REPAIR OF HAMMERTOE,CORRECTION HAMMERTOE,"Correction, hammertoe (eg, interphalangeal fusion, partial or total phalangectomy)"
2975,"33514",CABG VEIN FIVE,CORONARY ARTERY BYPASS 5 CORONARY VENOUS GRAFTS,"Coronary artery bypass, vein only; 5 coronary venous grafts"
107,"01756",ANESTH RADICAL HUMERUS SURG,ANESTHESIA OPEN/SURG ARTHRS RADICAL PROC ELBOW,Anesthesia for open or surgical arthroscopic procedures of the elbow; radical procedures
235,"11463",REMOVAL SWEAT GLAND LESION,EXCISION HIDRADENITIS INGUINAL COMPLEX REPAIR,"Excision of skin and subcutaneous tissue for hidradenitis, inguinal; with complex repair"
363,"12036",INTMD RPR S/A/T/EXT 20.1-30,REPAIR INTERMEDIATE S/A/T/E 20.1-30.0 CM,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 20.1 cm to 30.0 cm"
4,"00103",ANESTH BLEPHAROPLASTY,ANESTHESIA EYELID RECONSTRUCTIVE PROCEDURE,"Anesthesia for reconstructive procedures of eyelid (eg, blepharoplasty, ptosis surgery)"
132,"01962",ANESTH EMER HYSTERECTOMY,ANES URGENT HYSTERECTOMY FOLLOWING DELIVERY,Anesthesia for urgent hysterectomy following delivery
567,"19030",INJECTION FOR BREAST X-RAY,INJECTION MAMMARY DUCTOGRAM/GALACTOGRAM,Injection procedure only for mammary ductogram or galactogram
228,"00792",ANESTH HEMORR/EXCISE LIVER,ANES LAPS PARTIAL HEPATECTOMY W/MGMT LIVER HEMOR,Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; partial hepatectomy or management of liver hemorrhage (excluding liver biopsy)
663,"19361",BREAST RECONSTR W/LAT FLAP,BRST RCNSTJ W/LATSMS D/SI FLAP WO PRSTHC IMPL,"Breast reconstruction with latissimus dorsi flap, without prosthetic implant"
791,"15786",ABRASION LESION SINGLE,ABRASION 1 LESION,"Abrasion; single lesion (eg, keratosis, scar)"
919,"17110",DESTRUCT B9 LESION 1-14,DESTRUCTION BENIGN LESIONS UP TO 14,"Destruction (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), of benign lesions other than skin tags or cutaneous vascular proliferative lesions; up to 14 lesions"
412,"23077",RESECT SHOULDER TUMOR < 5 C,RAD RESECTION TUMOR SOFT TISSUE SHOULDER <5CM,"Radical resection of tumor (eg, sarcoma), soft tissue of shoulder area; less than 5 cm"
540,"10061",DRAINAGE OF SKIN ABSCESS,INCISION & DRAINAGE ABSCESS COMPLICATED/MULTIPLE,"Incision and drainage of abscess (eg, carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia); complicated or multiple"
668,"20604",DRAIN/INJ JOINT/BURSA W/US,ARTHROCNT ASPIR&/INJ SMALL JT/BURSAW/US REC RPRT,"Arthrocentesis, aspiration and/or injection, small joint or bursa (eg, fingers, toes); with ultrasound guidance, with permanent recording and reporting"
1103,"21194",RECONST LWR JAW W/GRAFT,RCNSTJ MNDBLR RAMI HRZNTL/VER/C/L OSTEOT W/GRAFT,"Reconstruction of mandibular rami, horizontal, vertical, C, or L osteotomy; with bone graft (includes obtaining graft)"
764,"20910",REMOVE CARTILAGE FOR GRAFT,CARTILAGE GRAFT COSTOCHONDRAL,Cartilage graft; costochondral
1191,"24925",AMPUTATION FOLLOW-UP SURGER,AMP ARM THRU HUMERUS SECONDARY CLSR/SCAR REVJ,"Amputation, arm through humerus; secondary closure or scar revision"
848,"21470",TREAT LOWER JAW FRACTURE,OPTX COMP MANDIBULAR FX MLT APPR W/INT FIXATION,"Open treatment of complicated mandibular fracture by multiple surgical approaches including internal fixation, interdental fixation, and/or wiring of dentures or splints"
976,"22610",THORAX SPINE FUSION,ARTHRODESIS POSTERIOR/POSTEROLATERAL THORACIC,"Arthrodesis, posterior or posterolateral technique, single level; thoracic (with lateral transverse technique, when performed)"
1423,"23550",TREAT CLAVICLE DISLOCATION,OPEN TX ACROMIOCLAVICULAR DISLC ACUTE/CHRONIC,"Open treatment of acromioclavicular dislocation, acute or chronic;"
1056,"21179",RECONSTRUCT ENTIRE FOREHEAD,RCNSTJ FOREHEAD &/ SUPRAORB RIMS W/ALGRF/PROSTC,"Reconstruction, entire or majority of forehead and/or supraorbital rims; with grafts (allograft or prosthetic material)"
1499,"24930",AMPUTATION FOLLOW-UP SURGER,AMPUTATION ARM THRU HUMERUS RE-AMPUTATION,"Amputation, arm through humerus; re-amputation"
1627,"25440",REPAIR/GRAFT WRIST BONE,RPR NONUNION SCAPHOID CARPAL BNE W/WO RDL STYLEC,"Repair of nonunion, scaphoid carpal (navicular) bone, with or without radial styloidectomy (includes obtaining graft and necessary fixation)"
1755,"27690",REVISE LOWER LEG TENDON,TR/TRNSPL 1 TDN W/MUSC REDIRION/REROUTING SUPFC,"Transfer or transplant of single tendon (with muscle redirection or rerouting); superficial (eg, anterior tibial extensors into midfoot)"
1220,"22110",REMOVE PART OF NECK VERTEBR,PRTL EXC VRT BDY B1Y LES W/O SPI CORD 1 SGM CRV,"Partial excision of vertebral body, for intrinsic bony lesion, without decompression of spinal cord or nerve root(s), single vertebral segment; cervical"
1847,"27043",EXC HIP PELVIS LES SC 3 CM/,EXCISION TUMOR SOFT TISSUE PELVIS&HIP SUBQ 3CM/>,"Excision, tumor, soft tissue of pelvis and hip area, subcutaneous; 3 cm or greater"
1975,"27200",TREAT TAIL BONE FRACTURE,CLOSED TREATMENT COCCYGEAL FRACTURE,Closed treatment of coccygeal fracture
1428,"24430",REPAIR OF HUMERUS,REPAIR NON/MALUNION HUMERUS W/O GRAFT,"Repair of nonunion or malunion, humerus; without graft (eg, compression technique)"
2051,"27558",TREAT KNEE DISLOCATION,OPEN TX KNEE DISLOCATION W/REPAIR/RECONSTRUCTION,"Open treatment of knee dislocation, includes internal fixation, when performed; with primary ligamentous repair, with augmentation/reconstruction"
2179,"27675",REPAIR LOWER LEG TENDONS,RPR DISLOC PERONEAL TENDON W/O FIBULAR OSTEOTOMY,"Repair, dislocating peroneal tendons; without fibular osteotomy"
1624,"26118",RAD RESECT HAND TUMOR 3 CM/,RAD RESCJ TUM SOFT TISSUE HAND/FINGER 3 CM/>,"Radical resection of tumor (eg, sarcoma), soft tissue of hand or finger; 3 cm or greater"
2247,"28405",TREATMENT OF HEEL FRACTURE,CLOSED TX CALCANEAL FRACTURE W/MANIPULATION,Closed treatment of calcaneal fracture; with manipulation
2375,"42900",REPAIR THROAT WOUND,SUTURE PHARYNX WOUND/INJURY,Suture pharynx for wound or injury
1812,"27047",EXC HIP/PELVIS LES SC < 3 C,EXC TUMOR SOFT TISSUE PELVIS & HIP SUBQ <3CM,"Excision, tumor, soft tissue of pelvis and hip area, subcutaneous; less than 3 cm"
1940,"27295",AMPUTATION OF LEG AT HIP,DISARTICULATION HIP,Disarticulation of hip
2395,"31520",DX LARYNGOSCOPY NEWBORN,LARYNGOSCOPY W/WO TRACHEOSCOPY DX NEWBORN,"Laryngoscopy direct, with or without tracheoscopy; diagnostic, newborn"
2523,"31502",CHANGE OF WINDPIPE AIRWAY,TRACHEOTOMY TUBE CHANGE PRIOR TO FISTULA TRACT,Tracheotomy tube change prior to establishment of fistula tract
2651,"48120",REMOVAL OF PANCREAS LESION,EXCISION LESION PANCREAS,"Excision of lesion of pancreas (eg, cyst, adenoma)"
2084,"29805",SHOULDER ARTHROSCOPY DX,ARTHROSCOPY SHOULDER DX W/WO SYNOVIAL BIOPSY SPX,"Arthroscopy, shoulder, diagnostic, with or without synovial biopsy (separate procedure)"
2212,"29901",MCP JOINT ARTHROSCOPY SURG,ARTHRS METACARPOPHALANGEAL JOINT DEBRIDEMENT,"Arthroscopy, metacarpophalangeal joint, surgical; with debridement"
2851,"33212",INSERT PULSE GEN SNGL LEAD,INS PM PLS GEN W/EXIST SINGLE LEAD,Insertion of pacemaker pulse generator only; with existing single lead
2328,"50290",REMOVAL OF KIDNEY LESION,EXCISION PERINEPHRIC CYST,Excision of perinephric cyst
2923,"35271",REPAIR BLOOD VESSEL LESION,RPR BLOOD VSL GRF OTH/THN VEIN INTRATHRC W/BYP,"Repair blood vessel with graft other than vein; intrathoracic, with bypass"
3051,"36002",PSEUDOANEURYSM INJECTION TR,INJECTION PX PRQ TX EXTREMITY PSEUDOANEURYSM,"Injection procedures (eg, thrombin) for percutaneous treatment of extremity pseudoaneurysm"
2552,"33224",INSERT PACING LEAD & CONNEC,INSJ ELTRD CAR VEN SYS ATTCH PREV PM/DFB PLS GEN,"Insertion of pacing electrode, cardiac venous system, for left ventricular pacing, with attachment to previously placed pacemaker or implantable defibrillator pulse generator (including revision of pocket, removal, insertion, and/or replacement of existing generator)"
3127,"33979",INSERT INTRACORPOREAL DEVIC,INSJ VENTR ASSIST DEV IMPLTABLE ICORP 1 VNTRC,"Insertion of ventricular assist device, implantable intracorporeal, single ventricle"
2668,"33305",REPAIR OF HEART WOUND,REPAIR CARDIAC WOUND W/CARDIOPULMONARY BYPASS,Repair of cardiac wound; with cardiopulmonary bypass
3223,"37700",REVISE LEG VEIN,LIG&DIV LONG SAPH VEIN SAPHFEM JUNCT/INTERRUPJ,"Ligation and division of long saphenous vein at saphenofemoral junction, or distal interruptions"
3351,"38564",REMOVAL ABDOMEN LYMPH NODES,LMTD LMPHADEC STAGING SPX RPR AORTIC&/SPLENIC,Limited lymphadenectomy for staging (separate procedure); retroperitoneal (aortic and/or splenic)
2884,"34832",OPEN AORTOFEMOR PROSTH REPR,OPN RPR ARYSM RPR ARTL TRMA AORTO-BIFEM PROSTH,"Open repair of infrarenal aortic aneurysm or dissection, plus repair of associated arterial trauma, following unsuccessful endovascular repair; aorto-bifemoral prosthesis"
3451,"36566",INSERT TUNNELED CV CATH,INSJ TUN VAD REQ 2 CATH 2 SITS W/SUBQ PORT,"Insertion of tunneled centrally inserted central venous access device, requiring 2 catheters via 2 separate venous access sites; with subcutaneous port(s)"
2964,"33690",REINFORCE PULMONARY ARTERY,BANDING PULMONARY ARTERY,Banding of pulmonary artery
3092,"33933",PREPARE DONOR HEART/LUNG,BKBENCH PREPJ CADAVER DONOR HEART/LUNG ALLOGRAFT,"Backbench standard preparation of cadaver donor heart/lung allograft prior to transplantation, including dissection of allograft from surrounding soft tissues to prepare aorta, superior vena cava, inferior vena cava, and trachea for implantation"
3220,"35151",REPAIR DEFECT OF ARTERY,DIR RPR ANEURYSM & GRAFT POPLITEAL ARTERY,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for aneurysm, pseudoaneurysm, and associated occlusive disease, popliteal artery"
3659,"41017",DRAINAGE OF MOUTH LESION,XTRORAL I&D ABSC CST/HMTMA FLOOR MOUTH SUBMNDB,"Extraoral incision and drainage of abscess, cyst, or hematoma of floor of mouth; submandibular"
3787,"45111",PARTIAL REMOVAL OF RECTUM,PRCTECT PRTL RESCJ RECTUM TABDL APPR,"Proctectomy; partial resection of rectum, transabdominal approach"
3248,"35372",RECHANNELING OF ARTERY,TEAEC W/WO PATCH GRAFT DEEP PROFUNDA FEMORAL,"Thromboendarterectomy, including patch graft, if performed; deep (profunda) femoral"
3376,"41016",DRAINAGE OF MOUTH LESION,XTRORAL I&D ABSC CST/HMTMA FLOOR MOUTH SUBMENT,"Extraoral incision and drainage of abscess, cyst, or hematoma of floor of mouth; submental"
3504,"42810",EXCISION OF NECK CYST,EXC BRANCHIAL CLEFT CYST CONFINED SKN&SUBQ TIS,"Excision branchial cleft cyst or vestige, confined to skin and subcutaneous tissues"
3955,"44380",SMALL BOWEL ENDOSCOPY BR/WA,ILEOSCOPY THRU STOMA DX W/COLLJ SPEC WHEN PRFMD,"Ileoscopy, through stoma; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)"
3588,"38120",LAPAROSCOPY SPLENECTOMY,LAPAROSCOPIC SURGICAL SPLENECTOMY,"Laparoscopy, surgical, splenectomy"
3716,"44366",SMALL BOWEL ENDOSCOPY,ENTEROSCOPY > 2ND PRTN W/CONTROL BLEEDING,"Small intestinal endoscopy, enteroscopy beyond second portion of duodenum, not including ileum; with control of bleeding (eg, injection, bipolar cautery, unipolar cautery, laser, heater probe, stapler, plasma coagulator)"
4159,"44700",SUSPEND BOWEL W/PROSTHESIS,EXCLUSION SM INT FROM PELVIS MESH/PROSTH/TISS,"Exclusion of small intestine from pelvis by mesh or other prosthesis, or native tissue (eg, bladder or omentum)"
4287,"52005",CYSTOSCOPY & URETER CATHETE,CYSTO BLADDER W/URETERAL CATHETERIZATION,"Cystourethroscopy, with ureteral catheterization, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service;"
4415,"53040",DRAINAGE OF URETHRA ABSCESS,DRAINAGE DEEP PERIURETHRAL ABSCESS,Drainage of deep periurethral abscess
3884,"45825",REPAIR FISTULA W/COLOSTOMY,CLOSURE RECTOURETHRAL FISTULA W/COLOSTOMY,Closure of rectourethral fistula; with colostomy
4511,"55720",DRAINAGE OF PROSTATE ABSCES,PROSTATOTOMY EXTERNAL DRG ABSCESS SIMPLE,"Prostatotomy, external drainage of prostatic abscess, any approach; simple"
3952,"43848",REVISION GASTROPLASTY,REVISION OPEN GASTRIC RESTRICTIVE PX NOT DEVICE,"Revision, open, of gastric restrictive procedure for morbid obesity, other than adjustable gastric restrictive device (separate procedure)"
4080,"44363",SMALL BOWEL ENDOSCOPY,ENTEROSCOPY > 2ND PRTN W/RMVL FOREIGN BODY,"Small intestinal endoscopy, enteroscopy beyond second portion of duodenum, not including ileum; with removal of foreign body(s)"
4727,"58120",DILATION AND CURETTAGE,DILATION & CURETTAGE DX&/THER NONOBSTETRIC,"Dilation and curettage, diagnostic and/or therapeutic (nonobstetrical)"
4160,"49204",EXC ABD TUM OVER 5 CM,EXC/DESTRUCTION OPEN ABDMNL TUMORS 5.1-10.0 CM,"Excision or destruction, open, intra-abdominal tumors, cysts or endometriomas, 1 or more peritoneal, mesenteric, or retroperitoneal primary or secondary tumors; largest tumor 5.1-10.0 cm diameter"
4811,"60210",PARTIAL THYROID EXCISION,PRTL THYROID LOBECTOMY UNI W/WO ISTHMUSECTOMY,"Partial thyroid lobectomy, unilateral; with or without isthmusectomy"
4939,"57265",EXTENSIVE REPAIR OF VAGINA,CMBND ANTEROPOST COLPORRHAPHY W/ENTEROCELE RPR,Combined anteroposterior colporrhaphy; with enterocele repair
4356,"50974",URETER ENDOSCOPY & BIOPSY,URETERAL ENDOSCOPY VIA URETEROT W/O IMAGING W/BX,"Ureteral endoscopy through ureterotomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with biopsy"
5027,"82951",GLUCOSE TOLERANCE TEST (GTT,GLUCOSE TOLERANCE TEST GTT 3 SPECIMENS,"Glucose; tolerance test (GTT), 3 specimens (includes glucose)"
4440,"49450",REPLACE G/C TUBE PERC,REPLACE GASTROSTOMY/CECOSTOMY TUBE PERCUTANEOUS,"Replacement of gastrostomy or cecostomy (or other colonic) tube, percutaneous, under fluoroscopic guidance including contrast injection(s), image documentation and report"
4568,"54640",SUSPENSION OF TESTIS,ORCHIOPEXY INGUINAL APPROACH W/WO HERNIA RPR,"Orchiopexy, inguinal approach, with or without hernia repair"
5243,"61531",IMPLANT BRAIN ELECTRODES,SUBDURAL IMPLTJ ELECTRODES SEIZURE MONITORING,Subdural implantation of strip electrodes through 1 or more burr or trephine hole(s) for long-term seizure monitoring
4680,"56420",DRAINAGE OF GLAND ABSCESS,I&D OF BARTHOLINS GLAND ABSCESS,Incision and drainage of Bartholin's gland abscess
5323,"63688",REVISE/REMOVE NEURORECEIVER,REVJ/RMVL IMPLANTED SPINAL NEUROSTIM GENERATOR,Revision or removal of implanted spinal neurostimulator pulse generator or receiver
4772,"53060",DRAINAGE OF URETHRA ABSCESS,DRG OF SKENE'S GLAND ABSCESS OR CYST,Drainage of Skene's gland abscess or cyst
4900,"59070",TRANSABDOM AMNIOINFUS W/US,TRANSABDOMINAL AMNIOINFUSION W/ULTRSND GUIDANCE,"Transabdominal amnioinfusion, including ultrasound guidance"
5527,"62267",INTERDISCAL PERQ ASPIR DX,PRQ ASPIR PULPOSUS/INTERVERTEBRAL DISC/PVRT TISS,"Percutaneous aspiration within the nucleus pulposus, intervertebral disc, or paravertebral tissue for diagnostic purposes"
5000,"57307",FISTULA REPAIR & COLOSTOMY,CLSR RECTOVAG FSTL ABDL APPR W/CONCOMITANT CLST,"Closure of rectovaginal fistula; abdominal approach, with concomitant colostomy"
5611,"67101",REPAIR DETACHED RETINA,RPR RETINAL DTCHMNT 1/>SES CRYOTX/DTHRM W/WO DR,"Repair of retinal detachment, 1 or more sessions; cryotherapy or diathermy, with or without drainage of subretinal fluid"
5739,"64653",CHEMODENERV ECCRINE GLANDS,CHEMODENERVATION ECCRINE GLANDS OTH AREA PER DAY,"Chemodenervation of eccrine glands; other area(s) (eg, scalp, face, neck), per day"
5212,"82943",ASSAY OF GLUCAGON,ASSAY OF GLUCAGON,Glucagon
5831,"69801",INCISE INNER EAR,LABYRINTHOTOMY TRANSCANAL,"Labyrinthotomy, with perfusion of vestibuloactive drug(s); transcanal"
5959,"67225",EYE PHOTODYNAMIC THER ADD-O,DSTRJ LESION CHOROID PDT 2ND EYE 1 SESSION,"Destruction of localized lesion of choroid (eg, choroidal neovascularization); photodynamic therapy, second eye, at single session (List separately in addition to code for primary eye treatment)"
5404,"63287",BX/EXC IDRL IMED LESN THRLM,LAM BX/EXC ISPI NEO IDRL IMED THORACOLMBR,"Laminectomy for biopsy/excision of intraspinal neoplasm; intradural, intramedullary, thoracolumbar"
6067,"67450",EXPLORE/BIOPSY EYE SOCKET,ORBITOTOMY BONE FLAP/WINDOW LAT EXPL W/WO BX,"Orbitotomy with bone flap or window, lateral approach (eg, Kroenlein); for exploration, with or without biopsy"
5476,"87541",LEGION PNEUMO DNA AMP PROB,IADNA LEGIONELLA PNEUMOPHILA AMPLIFIED PROBE TQ,"Infectious agent detection by nucleic acid (DNA or RNA); Legionella pneumophila, amplified probe technique"
5604,"65101",REMOVAL OF EYE,ENUCLEATION OF EYE W/O IMPLANT,Enucleation of eye; without implant
6271,"74250",X-RAY EXAM OF SMALL BOWEL,RADEX SMALL INTESTINE W/MULTIPLE SERIAL FILMS,"Radiologic examination, small intestine, includes multiple serial films;"
5684,"63746",REMOVAL OF SPINAL SHUNT,RMVL ENTIRE LUMBOSARACH SHUNT SYS W/O RPLCMT,Removal of entire lumbosubarachnoid shunt system without replacement
6371,"75984",XRAY CONTROL CATHETER CHANG,CHANGE PRQ TUBE/DRAINAGE CATH W CONTRAST RS&I,"Change of percutaneous tube or drainage catheter with contrast monitoring (eg, genitourinary system, abscess), radiological supervision and interpretation"
5800,"64615",CHEMODENERV MUSC MIGRAINE,CHEMODERVATE FACIAL/TRIGEM/CERV MUSC MIGRAINE,"Chemodenervation of muscle(s); muscle(s) innervated by facial, trigeminal, cervical spinal and accessory nerves, bilateral (eg, for chronic migraine)"
5928,"70170",X-RAY EXAM OF TEAR DUCT,DACRYOCSTOGRAPY NASOLACRIMAL DUCT RS&I,"Dacryocystography, nasolacrimal duct, radiological supervision and interpretation"
6559,"78018",THYROID MET IMAGING BODY,THYROID CARCINOMA METASTASES IMG WHOLE BODY,Thyroid carcinoma metastases imaging; whole body
5996,"66225",REPAIR/GRAFT EYE LESION,REPAIR SCLERAL STAPHYLOMA W/GRAFT,Repair of scleral staphyloma; with graft
6124,"72110",X-RAY EXAM L-2 SPINE 4/>VWS,RADEX SPINE LUMBOSACRAL MINIMUM 4 VIEWS,"Radiologic examination, spine, lumbosacral; minimum of 4 views"
6763,"81211",BRCA1&2 SEQ & COM DUP/DEL,BRCA1&BRCA2 FULL SEQ ANALYS/COMM DUP/DEL BRCA,"BRCA1, BRCA2 (breast cancer 1 and 2) (eg, hereditary breast and ovarian cancer) gene analysis; full sequence analysis and common duplication/deletion variants in BRCA1 (ie, exon 13 del 3.835kb, exon 13 dup 6kb, exon 14-20 del 26kb, exon 22 del 510bp, exon 8-9 del 7.1kb)"
